elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_000985,SYCOMORE,5534,2,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Loire,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
FR_ELITE_000985,SYCOMORE,5534,3,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Loire,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
FR_ELITE_000985,SYCOMORE,5534,4,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Loire,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
FR_ELITE_000985,SYCOMORE,5534,5,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Loire,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
FR_ELITE_000985,SYCOMORE,5534,6,Député,Cinquième République - Assemblée nationale,VIe législature,1978-03-19,1981-05-22,Loire,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5534
FR_ELITE_000986,SYCOMORE,5112,1,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-04-03,1968-05-30,Vendée,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5112
FR_ELITE_000986,SYCOMORE,5112,2,Député,Cinquième République - Assemblée nationale,IVe législature,1968-07-11,1973-04-01,Vendée,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5112
FR_ELITE_000986,SYCOMORE,5112,3,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Vendée,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5112
FR_ELITE_000986,SYCOMORE,5112,4,Député,Cinquième République - Assemblée nationale,VIe législature,1978-04-03,1981-05-22,Vendée,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5112
FR_ELITE_000986,SYCOMORE,5112,5,Député,Cinquième République - Assemblée nationale,VIIe législature,1981-07-02,1986-04-01,Vendée,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/5112
